id,name,url,source_group,opportunity_types,countries_covered,sectors,access_method,automation_priority,review_frequency,notes
arbeitnow-api,Arbeitnow Job Board API,https://www.arbeitnow.com/api/job-board-api,Job board API,Jobs; Remote work,Europe; Remote,Technology; All sectors,API,High,Daily,Structured API-friendly source for job import testing. Added during comprehensive source expansion round 2.
remoteok-api,Remote OK API,https://remoteok.com/api,Remote job board API,Remote work,Global/Remote,Technology; Design; Marketing; Operations,API,High,Daily,Structured API endpoint for remote jobs. Added during comprehensive source expansion round 2.
findwork-api,Findwork API,https://findwork.dev/developers/,Job board API,Jobs; Remote work,Global,Technology; All sectors,API,Medium,Daily,Developer-friendly job API; verify current access limits. Added during comprehensive source expansion round 2.
themuse-api,The Muse API,https://www.themuse.com/developers/api/v2,Job board API,Jobs; Internships,United States; Remote; Global,All sectors,API,Medium,Daily,Company/job API; verify terms before automated publishing. Added during comprehensive source expansion round 2.
reed-api,Reed Jobs API,https://www.reed.co.uk/developers,Job board API,Jobs,United Kingdom,All sectors,API,Medium,Daily,UK jobs API candidate. Added during comprehensive source expansion round 2.
remote-co,Remote.co Jobs,https://remote.co/remote-jobs/,Remote job board,Remote work,Global/Remote,All sectors,Manual/editorial review,Medium,Daily,Remote job board with broad categories. Added during comprehensive source expansion round 2.
dynamite-jobs,Dynamite Jobs,https://dynamitejobs.com/,Remote job board,Remote work,Global/Remote,Startups; Digital businesses,Manual/editorial review,Medium,Daily,Remote jobs for digital companies. Added during comprehensive source expansion round 2.
arc-dev,Arc.dev Remote Developer Jobs,https://arc.dev/remote-jobs,Remote tech job board,Remote work,Global/Remote,Technology; Software development,Manual/editorial review,Medium,Daily,Remote developer roles. Added during comprehensive source expansion round 2.
builtin,Built In Jobs,https://builtin.com/jobs,Tech job board,Jobs; Remote work,United States; Remote,Technology; Startups,Manual/editorial review,Medium,Daily,US tech/startup jobs. Added during comprehensive source expansion round 2.
dice,Dice Tech Jobs,https://www.dice.com/jobs,Tech job board,Jobs; Remote work,United States; Remote,Technology,Manual/editorial review,Medium,Daily,Technology jobs. Added during comprehensive source expansion round 2.
levels-fyi-jobs,Levels.fyi Jobs,https://www.levels.fyi/jobs/,Tech job board,Jobs; Remote work,Global,Technology,Manual/editorial review,Low,Weekly,Tech roles with compensation context. Added during comprehensive source expansion round 2.
behance-jobs,Behance Jobs,https://www.behance.net/joblist,Creative job board,Jobs; Remote work,Global,Design; Creative,Manual/editorial review,Medium,Weekly,Creative roles. Added during comprehensive source expansion round 2.
euraxess-jobs,EURAXESS Jobs,https://euraxess.ec.europa.eu/jobs,Research job board,Jobs; Fellowships redirect candidate,Europe; Global,Research; Academia,Manual/editorial review,Medium,Daily,Research roles; route fellowships according to project rules. Added during comprehensive source expansion round 2.
times-higher-education-jobs,Times Higher Education Uni Jobs,https://www.timeshighereducation.com/unijobs/,Academic job board,Jobs,Global,Higher education; Research,Manual/editorial review,Medium,Daily,University jobs. Added during comprehensive source expansion round 2.
nature-careers,Nature Careers,https://www.nature.com/naturecareers/jobs,Science job board,Jobs; Research opportunities,Global,Science; Research; Health,Manual/editorial review,Medium,Daily,Science and research jobs. Added during comprehensive source expansion round 2.
science-careers,Science Careers,https://jobs.sciencecareers.org/,Science job board,Jobs; Research opportunities,Global,Science; Research,Manual/editorial review,Medium,Daily,Science jobs. Added during comprehensive source expansion round 2.
academic-jobs-online,Academic Jobs Online,https://academicjobsonline.org/,Academic job board,Jobs,Global,Academia; Research,Manual/editorial review,Medium,Weekly,Academic roles. Added during comprehensive source expansion round 2.
chronicle-jobs,The Chronicle Jobs,https://jobs.chronicle.com/,Academic job board,Jobs,United States; Global,Higher education,Manual/editorial review,Medium,Daily,Higher education jobs. Added during comprehensive source expansion round 2.
jobs-ac-uk,jobs.ac.uk,https://www.jobs.ac.uk/,Academic job board,Jobs,United Kingdom; Global,Higher education; Research,Manual/editorial review,Medium,Daily,Academic jobs. Added during comprehensive source expansion round 2.
climatebase,Climatebase,https://climatebase.org/jobs,Climate job board,Jobs; Internships; Remote work,Global,Climate; Sustainability; Clean energy,Manual/editorial review,High,Daily,Strong climate jobs source. Added during comprehensive source expansion round 2.
